recordType,retransmission,sIP-Method,role-of-Node,nodeAddress,session-Id,calling-Party-Address,called-Party-Address,serviceRequestTimeStamp,serviceDeliveryStartTimeStamp,serviceDeliveryEndTimeStamp,recordOpeningTime,recordClosureTime,serviceRequestTimeStampNormalized,serviceDeliveryStartTimeStampNormalized,serviceDeliveryEndTimeStampNormalized,chargeableDuration,timeFromSipRequestToStartOfCharging,interOperatorIdentifiers,localRecordSequenceNumber,partialOutputRecordNumber,causeForRecordClosing,incomplete-CDR-Indication,iMS-Charging-Identifier,list-Of-SDP-Media-Components,list-Of-Normalized-Media-Components1,list-Of-Normalized-Media-Components2,list-Of-Normalized-Media-Components3,list-Of-Normalized-Media-Components4,list-Of-Normalized-Media-Components5,list-Of-Normalized-Media-Components6,list-Of-Normalized-Media-Components7,list-Of-Normalized-Media-Components8,list-Of-Normalized-Media-Components9,list-Of-Normalized-Media-Components10,list-Of-Normalized-Media-Components11,list-Of-Normalized-Media-Components12,list-Of-Normalized-Media-Components13,list-Of-Normalized-Media-Components14,list-Of-Normalized-Media-Components15,list-Of-Normalized-Media-Components16,list-Of-Normalized-Media-Components17,list-Of-Normalized-Media-Components18,list-Of-Normalized-Media-Components19,list-Of-Normalized-Media-Components20,list-Of-Normalized-Media-Components21,list-Of-Normalized-Media-Components22,list-Of-Normalized-Media-Components23,list-Of-Normalized-Media-Components24,list-Of-Normalized-Media-Components25,list-Of-Normalized-Media-Components26,list-Of-Normalized-Media-Components27,list-Of-Normalized-Media-Components28,list-Of-Normalized-Media-Components29,list-Of-Normalized-Media-Components30,list-Of-Normalized-Media-Components31,list-Of-Normalized-Media-Components32,list-Of-Normalized-Media-Components33,list-Of-Normalized-Media-Components34,list-Of-Normalized-Media-Components35,list-Of-Normalized-Media-Components36,list-Of-Normalized-Media-Components37,list-Of-Normalized-Media-Components38,list-Of-Normalized-Media-Components39,list-Of-Normalized-Media-Components40,list-Of-Normalized-Media-Components41,list-Of-Normalized-Media-Components42,list-Of-Normalized-Media-Components43,list-Of-Normalized-Media-Components44,list-Of-Normalized-Media-Components45,list-Of-Normalized-Media-Components46,list-Of-Normalized-Media-Components47,list-Of-Normalized-Media-Components48,list-Of-Normalized-Media-Components49,list-Of-Normalized-Media-Components50,gGSNaddress,serviceReasonReturnCode,list-Of-Message-Bodies,recordExtension,expires,event,listOfAccessNetworkInformation1,listOfAccessNetworkInformation2,listOfAccessNetworkInformation3,listOfAccessNetworkInformation4,listOfAccessNetworkInformation5,listOfAccessNetworkInformation6,listOfAccessNetworkInformation7,listOfAccessNetworkInformation8,listOfAccessNetworkInformation9,listOfAccessNetworkInformation10,list-of-subscription-ID1,list-of-subscription-ID2,list-of-subscription-ID3,list-of-subscription-ID4,list-of-subscription-ID5,list-of-subscription-ID6,list-of-subscription-ID7,list-Of-Early-SDP-Media-Components,iMSCommunicationServiceIdentifier,numberPortabilityRouting,carrierSelectRouting,sessionPriority,requested-Party-Address,list-Of-Called-Asserted-Identity,mMTelInformation-analyzed-Call-Type,mMTelInformation-called-Asserted-Identity-Presentation-Status,mMTelInformation-calling-Party-Address-Presentation-Status,mMTelInformation-conference-Id,mMTelInformation-dial-Around-Indicator,mMTelInformation-related-ICID,mMTelInformation-supplementary-Service-Information1,mMTelInformation-supplementary-Service-Information2,mMTelInformation-supplementary-Service-Information3,mMTelInformation-supplementary-Service-Information4,mMTelInformation-supplementary-Service-Information5,mMTelInformation-supplementary-Service-Information6,mMTelInformation-supplementary-Service-Information7,mMTelInformation-supplementary-Service-Information8,mMTelInformation-supplementary-Service-Information9,mMTelInformation-supplementary-Service-Information10,mobileStationRoamingNumber,teleServiceCode,tariffClass,pVisitedNetworkID
83,,INVITE,0,sccas01.west.imslab.rogers.com,1335053582,sip:+16134042014@ims.mnc720.mcc302.3gppnetwork.org,sip:+14169643311@ims.mnc720.mcc302.3gppnetwork.org,20140616162150,20140616162204,20140616162704,20140616162150,20140616162704,20140616162150,20140616162204,20140616162704,300,14,,,,||0|,,pcscf01.mnc720.mcc302.3gppnetwork.org-1374-151017-627825,,20140616162204|20140616162204|0|AMR-WB/16000|43|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302-720-0B0B-00753007|2|1|1|20140616162204|20140616162204,,,,,,,,,,0|16134042014,1|302720501755355,200|0|013329002715926,,,,,,,,,,sip:4169643311@ims.mnc720.mcc302.3gppnetwork.org,,,,0,,,,,,,,,,,,,,,,1,
83,,INVITE,0,sccas01.west.imslab.rogers.com,835775025,sip:+14162587040@ims.mnc720.mcc302.3gppnetwork.org,tel:+14169643311,20140604185605,20140604185619,20140604190119,20140604185605,20140604190119,20140604185605,20140604185619,20140604190119,300,14,,,,||0|,,D239BF0000-0718-05414608,,20140604185619|20140604185619|0|AMR/8000|29|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302-720-0FA0-620C|0|0|0|20140604185619|20140604185619,,,,,,,,,,0|14162587040,1|302720500053651,200|0|013170001656848,,,,,,,,,,tel:4169643311,,,,0,,,,,,,,,,,,,,,,1,
83,,INVITE,1,sccas01.west.imslab.rogers.com,983176097,sip:+14169643311@ims.mnc720.mcc302.3gppnetwork.org,sip:+16134042014@ims.mnc720.mcc302.3gppnetwork.org,20140616162450,20140616162504,20140616163004,20140616162450,20140616163004,20140616162450,20140616162504,20140616163004,300,14,,,,||0|,,pcscf01.mnc720.mcc302.3gppnetwork.org-1374-151017-627825,,20140616162504|20140616162504|0|AMR-WB/16000|43|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302-720-0B0B-00753007|2|1|1|20140616162504|20140616162504,,,,,,,,,,0|16134042014,1|302720501755355,200|0|013329002715926,,,,,,,,,,sip:6134042014@ims.mnc720.mcc302.3gppnetwork.org,,,,0,,,,,,,,,,,,,,,,1,
83,,INVITE,1,sccas01.west.imslab.rogers.com,2125982338,sip:+14169643311@ims.mnc720.mcc302.3gppnetwork.org,tel:+14162587040,20140619165928,20140619165942,20140619170442,20140619165928,20140619170442,20140619165928,20140619165942,20140619170442,300,14,,,,||0|,,D239BF0000-0718-05414608,,20140619165942|20140619165942|0|AMR/8000|29|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302-720-0FA0-620C|0|0|0|20140619165942|20140619165942,,,,,,,,,,0|14162587040,1|302720500053651,200|0|013170001656848,,,,,,,,,,tel:4162587040,,,,0,,,,,,,,,,,,,,,,1,
83,,MESSAGE,0,WSCSCF01-Rf.west.imslab.rogers.com,598084666,sip:+16134042014@ims.mnc720.mcc302.3gppnetwork.org,sip:+16474354267@ims.mnc720.mcc302.3gppnetwork.org,20140616162350,20140616162404,20140616162904,20140616162350,20140616162904,20140616162350,20140616162404,20140616162904,0,0,,,,||0|,,16c3dd4503fc470acfe3091a7e965,,20140616162404|20140616162404|2|H263/90000|128|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302-720-0B0B-00753007|2|1|1|20140616162404|20140616162404,,,,,,,,,,0|16134042014,1|302720501755355,200|0|013329002715926,,,,,,,,,,sip:16474354267@ims.mnc720.mcc302.3gppnetwork.org,,,,,,,,,,,,,,,,,,,,1,
83,,MESSAGE,1,WSCSCF01-Rf.west.imslab.rogers.com,467587490,sip:+16474354267@ims.mnc720.mcc302.3gppnetwork.org,sip:+16134042014@ims.mnc720.mcc302.3gppnetwork.org,20140616175709,20140616175723,20140616180223,20140616175709,20140616180223,20140616175709,20140616175723,20140616180223,0,0,,,,||0|,,16c3dd4503fc470acfe3091a7e965,,20140616175723|20140616175723|2|H263/90000|128|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302-720-0B0B-00753007|2|1|1|20140616175723|20140616175723,,,,,,,,,,0|16134042014,1|302720501755355,200|0|013329002715926,,,,,,,,,,sip:6134042014@ims.mnc720.mcc302.3gppnetwork.org,,,,,,,,,,,,,,,,,,,,1,
83,,MESSAGE,0,WSCSCF01-Rf.west.imslab.rogers.com,1034728807,sip:+14162587040@ims.mnc720.mcc302.3gppnetwork.org,tel:+16474354267,20140619094008,20140619094022,20140619094522,20140619094008,20140619094522,20140619094008,20140619094022,20140619094522,0,0,,,,||0|,,16c3dd4503fc470acfe3091a7e965,,20140619094022|20140619094022|2|H263/90000|128|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3027200FA0620C|0|0|0|20140619094022|20140619094022,,,,,,,,,,0|14162587040,1|302720500053651,200|0|013170001656848,,,,,,,,,,tel:16474354267,,,,,,,,,,,,,,,,,,,,1,
83,,MESSAGE,1,WSCSCF01-Rf.west.imslab.rogers.com,27796661,sip:+16474354267@ims.mnc720.mcc302.3gppnetwork.org,tel:+14162587040,20140620092231,20140620092245,20140620092745,20140620092231,20140620092745,20140620092231,20140620092245,20140620092745,0,0,,,,||0|,,16c3dd4503fc470acfe3091a7e965,,20140620092245|20140620092245|2|H263/90000|128|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3027200FA0620C|0|0|0|20140620092245|20140620092245,,,,,,,,,,0|14162587040,1|302720500053651,200|0|013170001656848,,,,,,,,,,tel:4162587040,,,,,,,,,,,,,,,,,,,,1,
83,,INVITE,0,sccas01.west.imslab.rogers.com,647204100,sip:+16134042014@ims.mnc720.mcc302.3gppnetwork.org,sip:+14169643311@ims.mnc720.mcc302.3gppnetwork.org,20140616162250,20140616162304,20140616162804,20140616162250,20140616162804,20140616162250,20140616162304,20140616162804,300,14,,,,||0|,,pcscf01.mnc720.mcc302.3gppnetwork.org-1374-151017-627825,,20140616162304|20140616162304|1|H263/90000|128|||||||1,20140616162304|20140616162304|0|AMR/8000|128|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302-720-0B0B-00753007|2|1|1|20140616162304|20140616162304,,,,,,,,,,0|16134042014,1|302720501755355,200|0|013329002715926,,,,,,,,,,sip:4169643311@ims.mnc720.mcc302.3gppnetwork.org,,,,0,,,,,,,,,,,,,,,,1,
83,,INVITE,1,sccas01.west.imslab.rogers.com,1454755413,sip:+14162190002@ims.mnc720.mcc302.3gppnetwork.org,sip:+14169643311@ims.mnc720.mcc302.3gppnetwork.org,20140616162550,20140616162604,20140616163104,20140616162550,20140616163104,20140616162550,20140616162604,20140616163104,300,14,,,,||0|,,pcscf01.mnc720.mcc302.3gppnetwork.org-1374-151017-627825,,20140616162604|20140616162604|1|H263/90000|128|||||||1,20140616162604|20140616162604|0|AMR/8000|128|||||||1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302-720-0B0B-00753007|2|1|1|20140616162604|20140616162604,,,,,,,,,,0|14169643311,1|302720596596357,200|0|013424002363627,,,,,,,,,,sip:4169643311@ims.mnc720.mcc302.3gppnetwork.org,,,,0,,,,,,,,,,,,,,,,1,
